screen_name,id,created_at,text,contributors,is quote,favorite count,in reply to,in reply to id,retweet count,favorited
JBuggarauf,904101955189915648,2017-09-02T22:01:18,"RT @GScottTaylor: @MichaelSkolnik And you found people polite, friendly and tolerant of your right to express.your views.  Try a Trump shir…",,False,0,,,407,False
JBuggarauf,904102899306790916,2017-09-02T22:05:03,@ThisGroovyMama @GScottTaylor @MichaelSkolnik Right - My neighbor has his back window bashed in and his MAGA hat on… https://t.co/aemUNYtd84,,False,3,ThisGroovyMama,823320945913802753,0,False
JBuggarauf,904222339641991168,2017-09-03T05:59:40,@DestructiveChem @undertoad80 @wcrego @billhrsn @KurtSchlichter @JayCaruso Nobody is trying to change your mind - t… https://t.co/P6GqQernTk,,False,0,DestructiveChem,4161633555,0,False
JBuggarauf,904223571525779456,2017-09-03T06:04:33,"@seymourbutz12 Enjoy both, before they figure out Arlington was Gen Lee's home, and several Marines in the Iwo Jima… https://t.co/Q7VBDIIZQT",,False,1,seymourbutz12,4735176079,0,False
JBuggarauf,904225994910736386,2017-09-03T06:14:11,@johncardillo The gang population in California just quadrupled over night..,,False,0,johncardillo,27995424,0,False
GiftofSage,904369666721767424,2017-09-03T15:45:05,The Left #MSM has been calling anything they can terrorism and finally got to call a white supremacist a terrorist without thinking. #AMJoy,,False,0,,,0,False
GiftofSage,904369894082437121,2017-09-03T15:45:59,"It like now that the president really sympathizes with terrorism, even the Left has gone soft. But it's because they think he can't win.",,False,0,,,0,False
GiftofSage,904370202275717123,2017-09-03T15:47:13,"The Left loses when they think their opponent can't win. #AMJoy 
I think he can win b/c people don't see he blamed the population for terror",,False,0,,,0,False
GiftofSage,904370682221518848,2017-09-03T15:49:07,He blamed everyone for terror b/c terror is really about everyone. The WS wanted #blameonbothsides to their strategy of taking to mainstream,,False,0,,,0,False
GiftofSage,904373850523262977,2017-09-03T16:01:43,@FilmFatale_NYC Fallacy,,False,0,FilmFatale_NYC,37340424,0,False
JBuggarauf,904380586181005312,2017-09-03T16:28:28,"On just the Q's and As in that video, Comey should have been fired, if not prosecuted. W/earlier draft of exonerati… https://t.co/geY7BkG66C",,True,0,,,0,False
JBuggarauf,904382364142288897,2017-09-03T16:35:32,You think I'm pulling that cat into *my* rescue boat? Not on your life or its.. https://t.co/plqHAMW5OY,,True,0,,,0,False
GiftofSage,904383801098469377,2017-09-03T16:41:15,@HallieJackson @POTUS He's waiting for them to hit land. He knows they're bluffing. They're blu,,False,0,HallieJackson,37590426,0,False
